raw_comp_writers_text,CLEAN_TEXT,normalized_text
Rosalía Viviana,Rosalía Viviana,Rosalía Viviana
Furkan Dulda/Mrs.LoveYotubeRecords,Furkan Dulda,Furkan Dulda
Sid McLauchlan/Jacques Cordier/Marita Prohmann,Sid McLauchlan/Jacques Cordier/Marita Prohmann,Sid McLauchlan/Jacques Cordier/Marita Prohmann
Hadrien L.,,Hadrien L.
Simone Simons/Mark Jansen/Isaac Delahaye/Coen Janssen,Simone Simons/Mark Jansen/Isaac Delahaye/Coen Janssen,Simone Simons/Mark Jansen/Isaac Delahaye/Coen Janssen
Drake,Drake,Drake
Plaid,,Plaid
"Lil Baby,30 Deep Grimeyy",Lil Baby/30 Deep Grimeyy,Lil Baby/30 Deep Grimeyy
Joakim Brodén/Pär Sundström,Joakim Brodén/Pär Sundström,Joakim Brodén/Pär Sundström
Gerd Jakobs/Andreas Gero Schulze/Gerd Grabowski/Markus Hölzl,Gerd Jakobs/Andreas Gero Schulze/Gerd Grabowski/Markus Hölzl,Gerd Jakobs/Andreas Gero Schulze/Gerd Grabowski/Markus Hölzl
J. Cantrell/Rick Parashar,J. Cantrell/Rick Parashar,J. Cantrell/Rick Parashar
ARVEL JERROD/PATTERSON MARCO,ARVEL/JERROD/PATTERSON/MARCO,ARVEL JERROD/PATTERSON MARCO
"<Unknown>/Casaburi, Lee",Casaburi/Lee,Casaburi/Lee
MALEJONEK DARIUSZ ROBERT/PODOLSKI JAKUB KAZIMIERZ/WOJCIK TOMASZ KRZYSZTOF/obo ZAiKS,MALEJONEK/DARIUSZ/ROBERT/PODOLSKI/JAKUB/KAZIMIERZ/WOJCIK/TOMASZ/KRZYSZTOF/obo/ZAiKS,MALEJONEK DARIUSZ ROBERT/PODOLSKI JAKUB KAZIMIERZ/WOJCIK TOMASZ KRZYSZTOF/obo ZAiKS
鄭國江/陳百強,,
Ignacio de Pablo,Ignacio de Pablo,Ignacio de Pablo
Tostão Sanfoneiro,Tostão Sanfoneiro,Tostão Sanfoneiro
CA ASSAF YOUHANNA/CA VANCAULART JEREMY/PA ASSAF & JEREMY VANCAULART,ASSAF/YOUHANNA/VANCAULART/JEREMY/PA/ASSAF/&/JEREMY/VANCAULART,CA ASSAF YOUHANNA/CA VANCAULART JEREMY/PA ASSAF/JEREMY VANCAULART
Irving Isai Puerto Ramirez,Irving Isai Puerto Ramirez,Irving Isai Puerto Ramirez
Shohei Narabe,Shohei Narabe,Shohei Narabe
"James Blake,Coi Leray",James Blake/Coi Leray,James Blake/Coi Leray
鷺巣詩郎,,
Nguyên Thảo/Giao Tiên/Mạnh Quỳnh,,Nguyên Thảo/Giao Tiên/Mạnh Quỳnh
"Trapz Young, Rith Alex, ផលិតកម្ម ទីក្រុង ភាពយន្ត & Va Nita",Trapz Young/Rith Alex/ផលិតកម្ម ទីក្រុង ភាពយន្ត & Va Nita,Trapz Young/Rith Alex/Va Nita
Murray Cook/Jeff Fatt/Greg Page/John Field/Dominic Lindsay/Anthony Field,,Murray Cook/Jeff Fatt/Greg Page/John Field/Dominic Lindsay/Anthony Field
Shlomo Sternberg,,Shlomo Sternberg
唐奕驄/張國榮/陳少琪/Alvin Leung,Alvin Leung,唐奕驄/Alvin Leung
Max Zooi/Will Leet/BMG Rights/Debbie Tjong/James Quinlan/Warner Chappell/C-Bass Chiriboga/Peermusic UK Ltd/Sammy Rae & The Friends,Max Zooi/Will Leet/Debbie Tjong/James Quinlan/C-Bass Chiriboga/Sammy Rae/The Friends,Max Zooi/Will Leet/BMG Rights/Debbie Tjong/James Quinlan/Warner Chappell/C-Bass Chiriboga/Peermusic UK Ltd/Sammy Rae/The Friends
Trey Anastasio/Stephen Harris/Dave Matthews,Dave Matthews,Trey Anastasio/Stephen Harris/Dave Matthews
Copyright Control/Adrian F.M. Beesley,Adrian F.M. Beesley,Adrian F.M. Beesley
James Bourne/Graham Edwards/Charlie Simpson/Matt Willis/Lauren Christy/Scott Spock,James Bourne/Graham Edwards/Charlie Simpson/Matt Willis/Lauren Christy/Scott Spock,James Bourne/Graham Edwards/Charlie Simpson/Matt Willis/Lauren Christy/Scott Spock
Jesus R.,Jesus R.,Jesus R.
Alex Ross,Alex Ross,Alex Ross
Colby Priest,Colby Priest,Colby Priest
Daniel Montgomery Shaw/小出健一,,Daniel Montgomery Shaw
Kenny Merlo & Raul Ernesto Cardozo,Kenny Merlo /Raul Ernesto Cardozo,Kenny Merlo/Raul Ernesto Cardozo
Maglor ♰,Maglor ♰,Maglor ♰
Brian Carroll,Brian Carroll,Brian Carroll
William Graydon/Lara Chilton/Alfred MacGibbon,William Graydon/Lara Chilton/Alfred MacGibbon,William Graydon/Lara Chilton/Alfred MacGibbon
Carson Fanny,Carson Fanny,Carson Fanny
Nellson Klasszik/RJ,Nellson Klasszik/RJ,Nellson Klasszik/RJ
Al Margolis/Jay Hernandez,,Al Margolis/Jay Hernandez
Tee Lopes & Alan Navarro,Tee Lopes/Alan Navarro,Tee Lopes/Alan Navarro
A. Best/M. McDerman,A. Best/M. McDerman,A. Best/M. McDerman
Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya/Tips Industries Ltd.,Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya,Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya/Tips Industries Ltd.
Léo Ferré/Francis Claude,Léo Ferré,Léo Ferré/Francis Claude
Vincenzo Avitabile,Vincenzo Avitabile,Vincenzo Avitabile
CA DUNN XAVIER PATRICK/CA LEWICKI SIMON JUDE/CA SOFO MATTHEW/PA GT & WILDFIRE,DUNN/XAVIER/PATRICK/LEWICKI/SIMON/JUDE/SOFO/MATTHEW/PA/GT/&/WILDFIRE,CA DUNN XAVIER PATRICK/CA LEWICKI SIMON JUDE/CA SOFO MATTHEW/PA GT/WILDFIRE
Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan
"<Unknown>/Miller, John",Miller/John,Miller/John
Song Ngọc,,Song Ngọc
Pedro Escalante,Pedro Escalante,Pedro Escalante
Anand Bakshi/A. R. Rahman,Anand Bakshi/A. R. Rahman,Anand Bakshi/A. R. Rahman
Mt. Eden Music,,Mt. Eden Music
Nathan Ingalls & DJNATE,Nathan Ingalls/DJNATE,Nathan Ingalls/DJNATE
Peter Hook/Stephen Morris/Bernard Sumner/Ian Curtis,Peter Hook/Stephen Morris/Bernard Sumner/Ian Curtis,Peter Hook/Stephen Morris/Bernard Sumner/Ian Curtis
Capital,Capital,Capital
Riza Penjoel,Riza Penjoel,Riza Penjoel
Juliana Richer Daily,,Juliana Richer Daily
Yuvan Shankar Raja,Yuvan Shankar Raja,Yuvan Shankar Raja
James Everingham,James Everingham,James Everingham
David Sylvian,David Sylvian,David Sylvian
Anu Malik/Rani Malik,Anu Malik/Rani Malik,Anu Malik/Rani Malik
Curtis Moore/Thomas Mizer/Stewart Lerman,Curtis Moore/Thomas Mizer/Stewart Lerman,Curtis Moore/Thomas Mizer/Stewart Lerman
Tom Straete Lagergren/Sadie Rose Van/Drew Pearson,Tom Straete Lagergren/Sadie Rose Van/Drew Pearson,Tom Straete Lagergren/Sadie Rose Van/Drew Pearson
"<Unknown>/Nicklin, Daniel",Nicklin/Daniel,Nicklin/Daniel
LEEZ/김홍중/BUDDY/EDEN/Ollounder/ATEEZ/송민기/Maddox,,LEEZ/BUDDY/EDEN/Ollounder/ATEEZ/Maddox
Alexis Lopez,Alexis Lopez,Alexis Lopez
Serdar Ayyıldız,Serdar Ayyıldız,Serdar Ayyıldız
Marin Marais,Marin Marais,Marin Marais
Francesco Manfredini,Francesco Manfredini,Francesco Manfredini
Marc Benjamin Latupapua/Mohamed Benadla/Amy Hayashi,Marc Benjamin Latupapua/Mohamed Benadla/Amy Hayashi,Marc Benjamin Latupapua/Mohamed Benadla/Amy Hayashi
Eric Figueroa,Eric Figueroa,Eric Figueroa
Lol Hammond/Charlie Hall/Steve Hillage/Miquette Giraudy,Lol Hammond/Charlie Hall/Steve Hillage/Miquette Giraudy,Lol Hammond/Charlie Hall/Steve Hillage/Miquette Giraudy
Sickboyrari,Sickboyrari,Sickboyrari
Nikolay Miaskovsky,Nikolay Miaskovsky,Nikolay Miaskovsky
Nikol Mammou Nounies,Nikol Mammou Nounies,Nikol Mammou Nounies
fiona slattery,fiona slattery,fiona slattery
浜渦正志,,
Terre Roche,Terre Roche,Terre Roche
Gregory Pfau/Javier Reyes/Marco Peperoni/Gregoire Stoltz,,Gregory Pfau/Javier Reyes/Marco Peperoni/Gregoire Stoltz
Leon Huff/Kenneth Gamble,Leon Huff/Kenneth Gamble,Leon Huff/Kenneth Gamble
Horatio G Spafford & Brett Perkins,Horatio G Spafford/Brett Perkins,Horatio G Spafford/Brett Perkins
CORBAL Music Publishing,,CORBAL Music Publishing
Nixon Peter,Nixon Peter,Nixon Peter
Bradley Amick,Bradley Amick,Bradley Amick
Abraham Vazquez,Abraham Vazquez,Abraham Vazquez
Nikola H. Monoud,,Nikola H. Monoud
Dieter Bohlen,Dieter Bohlen,Dieter Bohlen
Rudy Clark/Arthur Resnick,Rudy Clark/Arthur Resnick,Rudy Clark/Arthur Resnick
Dopebwoy,Dopebwoy,Dopebwoy
Theo Martins,Theo Martins,Theo Martins
Sami Hazinses,Sami Hazinses,Sami Hazinses
Nate Dogg/Warren G,Nate Dogg/Warren G,Nate Dogg/Warren G
綴,,
Enrique Perez,,Enrique Perez
KAROLI  MICHAEL/LIEBEZEIT  JAKI/SCHMIDT  IRMIN/SCHUERING  HOLGAR/SUZUKI  KENJI/WRITER UNKNOWN,KAROLI/MICHAEL/LIEBEZEIT/JAKI/SCHMIDT/IRMIN/SCHUERING/HOLGAR/SUZUKI/KENJI,KAROLI  MICHAEL/LIEBEZEIT  JAKI/SCHMIDT  IRMIN/SCHUERING  HOLGAR/SUZUKI  KENJI
Ketil Bjørnstad,Ketil Bjørnstad,Ketil Bjørnstad
Black Irish,Black Irish,Black Irish
Malhi Jarnail,Malhi Jarnail,Malhi Jarnail
Rub Amaya,Rub Amaya,Rub Amaya
Gavin Brown & John L. Cooper,,Gavin Brown/John L. Cooper
Traditional Song,,Traditional Song
Carlos Cres,Carlos Cres,Carlos Cres
COPYRIGHT CONTROL/LOPEZ JORGE MARQUEZ,LOPEZ/JORGE/MARQUEZ,LOPEZ JORGE MARQUEZ
DWI SANYOTO (EVAN LOSS) & ERRI SETYAWAN,DWI SANYOTO/EVAN LOSS/ERRI SETYAWAN,DWI SANYOTO/ERRI SETYAWAN
Steven Tyler/Joe Perry,Steven Tyler/Joe Perry,Steven Tyler/Joe Perry
Sean Doody/Andrew Duggan/Hans Leibold/Patrick Kindlon,Sean Doody/Andrew Duggan/Hans Leibold/Patrick Kindlon,Sean Doody/Andrew Duggan/Hans Leibold/Patrick Kindlon
Abdel Karim Mahyoob,Abdel Karim Mahyoob,Abdel Karim Mahyoob
Booker T. Jones,Booker T. Jones,Booker T. Jones
Glamour Music/Adxamjon Urinboyev,,Glamour Music/Adxamjon Urinboyev
DJ Rafa,DJ Rafa,DJ Rafa
Andrés Calamaro,Andrés Calamaro,Andrés Calamaro
Leonard Cohen/SONY/ATV MUSIC PUBLISHING LLC,Leonard Cohen,Leonard Cohen/SONY/ATV MUSIC PUBLISHING LLC
"<Unknown>/Burrowes, Kamaal",Burrowes/Kamaal,Burrowes/Kamaal
STAINSBY GREG JOHN,,STAINSBY GREG JOHN
Aiden Michael Overman,Aiden Michael Overman,Aiden Michael Overman
Berkki Serkkunen,,Berkki Serkkunen
Hannes Bachmeier,Hannes Bachmeier,Hannes Bachmeier
Texako,Texako,Texako
Comedy Central Records,,Comedy Central Records
Шабуров Артур Васильевич,,
Aaron Kamin/Alex Band,Aaron Kamin/Alex Band,Aaron Kamin/Alex Band
Patty Hill/Mildred J. Hill,Patty Hill/Mildred J. Hill,Patty Hill/Mildred J. Hill
Smook Deville/Darion Washington,Smook Deville/Darion Washington,Smook Deville/Darion Washington
Gilbert de Berneville,Gilbert de Berneville,Gilbert de Berneville
Dane Anders Benson,,Dane Anders Benson
"<Unknown>/Cisneros, Juan Manuel",Cisneros/Juan Manuel,Cisneros/Juan Manuel
Francisco Lozano,Francisco Lozano,Francisco Lozano
もんたよしのり,,
Swifty Blue,Swifty Blue,Swifty Blue
"Conway the Machine,7xvethegenius,DJ Green Lantern",Conway the Machine/7xvethegenius/DJ Green Lantern,Conway the Machine/7xvethegenius/DJ Green Lantern
原 真弓/渡辺俊幸,,
Christopher Ashmore(PRS),Christopher Ashmore,Christopher Ashmore
Declan MacManus/Mac Manus/Michael Thomas/Paul Cassidy/M. P. Thomas,Declan MacManus/Mac Manus/Michael Thomas/Paul Cassidy/M. P. Thomas,Declan MacManus/Mac Manus/Michael Thomas/Paul Cassidy/M. P. Thomas
Antonín Dvořák,,Antonín Dvořák
"<Unknown>/Robles, Rafael",Robles/Rafael,Robles/Rafael
Deniz Seki/Murat Yeter,Deniz Seki/Murat Yeter,Deniz Seki/Murat Yeter
Atlantic Screen Group/Brooke & Will Blair,Brooke/Will Blair,Atlantic Screen Group/Brooke/Will Blair
Mark Tremonti & Scott Stapp,Mark Tremonti /Scott Stapp,Mark Tremonti/Scott Stapp
Huỳnh Anh,,Huỳnh Anh
DECO*27,DECO*27,DECO*27
Ola Magnell,Ola Magnell,Ola Magnell
A. Orefiche,A. Orefiche,A. Orefiche
TNY & LUQ,TNY & LUQ,TNY/LUQ
Nadeem-Shravan/Sameer,Nadeem/Shravan/Sameer,Nadeem-Shravan/Sameer
Al Quran,,Al Quran
oc/Oliver Vilrik/Derrick Persaud/Copyright Control/Adam Raines Pollard,oc/Oliver Vilrik/Derrick Persaud/Adam Raines Pollard,oc/Oliver Vilrik/Derrick Persaud/Adam Raines Pollard
Ramsinh Rathod,Ramsinh Rathod,Ramsinh Rathod
PEDROZA PATRICIA J,PEDROZA PATRICIA J,PEDROZA PATRICIA J
Sauce Walka,Sauce Walka,Sauce Walka
SHAPERA PAUL M (MR),SHAPERA/PAUL/M/(MR),SHAPERA PAUL M
Samar Jackson,,Samar Jackson
"Andmesh Kamaleng, Mahalini & Mohammed Kamga",Andmesh Kamaleng/Mahalini/Mohammed Kamga,Andmesh Kamaleng/Mahalini/Mohammed Kamga
Seo Ji Eum (서지음),,Seo Ji Eum
Rabindranath Tagore,Rabindranath Tagore,Rabindranath Tagore
Filipe Sousa,Filipe Sousa,Filipe Sousa
Stan Webb,Stan Webb,Stan Webb
Daniel James,,Daniel James
Jess Klein,Jess Klein,Jess Klein
Diego Colquhoun,Diego Colquhoun,Diego Colquhoun
Giuseppe Verdi,Giuseppe Verdi,Giuseppe Verdi
Evgeny Chepkasov & BAND SCHEMINGTON,Evgeny Chepkasov/BAND SCHEMINGTON,Evgeny Chepkasov/BAND SCHEMINGTON
Hee Young,Hee Young,Hee Young
DJ Ashba/Marti Frederiksen/James Michael/Nikki Sixx,DJ Ashba/Marti Frederiksen/James Michael/Nikki Sixx,DJ Ashba/Marti Frederiksen/James Michael/Nikki Sixx
Javier Moreno Padilla,Javier Moreno Padilla,Javier Moreno Padilla
Martyn Stewart/Copyright Control/We Are On Purpose,Martyn Stewart/We Are On Purpose,Martyn Stewart/We Are On Purpose
P. Garinei/A. Trovaioli/S. Giovannini,P. Garinei/A. Trovaioli/S. Giovannini,P. Garinei/A. Trovaioli/S. Giovannini
Július Satinský/Milan Lasica,Július Satinský/Milan Lasica,Július Satinský/Milan Lasica
[traditional],,
Richard “Moon” Calhoun/Jeff Paris,Richard “Moon” Calhoun/Jeff Paris,Richard “Moon” Calhoun/Jeff Paris
Jon English,Jon English,Jon English
Sean Links,Sean Links,Sean Links
[RAGHUPATHY DWARKANATH DIXIT/ANKUR TEWARI],,[RAGHUPATHY DWARKANATH DIXIT/ANKUR TEWARI]
M.U.S.I.C./Louie Bellson/M.U.S.I.C. Co.,Louie Bellson,M.U.S.I.C./Louie Bellson/M.U.S.I.C. Co.
Georg Philipp Telemann,Georg Philipp Telemann,Georg Philipp Telemann
Rodolfo Olivares,Rodolfo Olivares,Rodolfo Olivares
"Alvaro Velasquez, GILBERTO MEJIA, Joe Arroyo & ISAAC VILLANUEVA M.",Joe Arroyo/ISAAC VILLANUEVA M.,Alvaro Velasquez/GILBERTO MEJIA/Joe Arroyo/ISAAC VILLANUEVA M.
Richard Allen Kendall II/Bryan Thanh Nguyen,,Richard Allen Kendall II/Bryan Thanh Nguyen
A GRZESZCZAK SYLWIA KAROLINA/A PIOTROWSKI MARCIN PAWEL/C GRABOWSKI DOMINIK RADOSLAW/C ZAREBSKI MACIEJ/PA LIBER & SYLWIA GRZESZCZAK,PIOTROWSKI/MARCIN/PAWEL/C/GRABOWSKI/DOMINIK/RADOSLAW/C/ZAREBSKI/MACIEJ/PA/LIBER/&/SYLWIA/GRZESZCZAK,A GRZESZCZAK SYLWIA KAROLINA/A PIOTROWSKI MARCIN PAWEL/C GRABOWSKI DOMINIK RADOSLAW/C ZAREBSKI MACIEJ/PA LIBER/SYLWIA GRZESZCZAK
Lyle Mays,Lyle Mays,Lyle Mays
Billy Idol/Keith Forsey/Steve Stevens,Billy Idol/Keith Forsey/Steve Stevens,Billy Idol/Keith Forsey/Steve Stevens
Nigel Godrich/Paul McCartney,Nigel Godrich/Paul McCartney,Nigel Godrich/Paul McCartney
Duane Elms/Jordin Kare,Duane Elms/Jordin Kare,Duane Elms/Jordin Kare
Peter Kelly/Andy Monaghan/Jill O'Sullivan,Peter Kelly/Andy Monaghan/Jill O'Sullivan,Peter Kelly/Andy Monaghan/Jill O'Sullivan
RR,,RR
Marc Francois,Marc Francois,Marc Francois
譚詠麟/Henry Mancini/Johnny Mercer,,Henry Mancini/Johnny Mercer
"Ayebandits,SoFaygo",Ayebandits/SoFaygo,Ayebandits/SoFaygo
"Mehdi Sefidgar,Hamid Sefat",Mehdi Sefidgar/Hamid Sefat,Mehdi Sefidgar/Hamid Sefat
Wilhelm Friedrich/Friedrich Flotow,Wilhelm Friedrich/Friedrich Flotow,Wilhelm Friedrich/Friedrich Flotow
Pedro Díaz/Txus di Fellatio/Kiskilla/Mohamed/Carlitos/Frank,Txus di Fellatio,Pedro Díaz/Txus di Fellatio/Kiskilla/Mohamed/Carlitos/Frank
Dan Lissvik/Stephen Ramsay/Stephen Kamp/Catherine McCandless,Dan Lissvik/Stephen Ramsay/Stephen Kamp/Catherine McCandless,Dan Lissvik/Stephen Ramsay/Stephen Kamp/Catherine McCandless
"Nicholas Pyatt, Nicholas Grayson, Patrick Fischer & Garzona Anthony Robert",Nicholas Pyatt/Nicholas Grayson/Patrick Fischer/Garzona Anthony Robert,Nicholas Pyatt/Nicholas Grayson/Patrick Fischer/Garzona Anthony Robert
Alf Terje Hana,Alf Terje Hana,Alf Terje Hana
"BNXN,Burna Boy",BNXN/Burna Boy,BNXN/Burna Boy
Frédéric Labit/Pascal Le Bon/Claude Brame/Christophe Carlin/Jean-Baptiste Jimenez/James Huiban/Franck Vandecasteele,Frédéric Labit/Pascal Le Bon/Claude Brame/Christophe Carlin/Jean-Baptiste Jimenez/James Huiban/Franck Vandecasteele,Frédéric Labit/Pascal Le Bon/Claude Brame/Christophe Carlin/Jean-Baptiste Jimenez/James Huiban/Franck Vandecasteele
최갑원,,최갑원
Willibald Gluck/Raniero de' Calzabigi,Willibald Gluck/Raniero de' Calzabigi,Willibald Gluck/Raniero de' Calzabigi
Shemarr Green,Shemarr Green,Shemarr Green
Sonny Boy Williamson,Sonny Boy Williamson,Sonny Boy Williamson
Caleb Hyles,Caleb Hyles,Caleb Hyles
Manu Chao,Manu Chao,Manu Chao
Chris Thomas/Andrew Farriss/Michael Hutchence,Chris Thomas/Andrew Farriss/Michael Hutchence,Chris Thomas/Andrew Farriss/Michael Hutchence
Daniel Denton,Daniel Denton,Daniel Denton
Jordan Micah Lunsford,Jordan Micah Lunsford,Jordan Micah Lunsford
Daniel Calveti,Daniel Calveti,Daniel Calveti
"FBG Duck,FBG Cash",FBG Duck/FBG Cash,FBG Duck/FBG Cash
Shibayan,Shibayan,Shibayan
Arcangelo Corelli,Arcangelo Corelli,Arcangelo Corelli
Merle Haggard,Merle Haggard,Merle Haggard
Alex Oriet/David Phelan/Grace Chatto/Henry Tucker/Tobias Topic/Jack Patterson/Alexander Tidebrink/Topic/Saltwives/Mark Ralph,Alex Oriet/David Phelan/Grace Chatto/Henry Tucker/Tobias Topic/Jack Patterson/Alexander Tidebrink/Topic/Mark Ralph,Alex Oriet/David Phelan/Grace Chatto/Henry Tucker/Tobias Topic/Jack Patterson/Alexander Tidebrink/Topic/Saltwives/Mark Ralph
"Purps,Juice WRLD",Purps,Purps/Juice WRLD
Д.Логинов/Multiza Distribution/Ляля Размахова,,Multiza Distribution
Colin Stetson,Colin Stetson,Colin Stetson
高橋菜々/MasKaleido/ZUN,MasKaleido/ZUN,MasKaleido/ZUN
Israel Nebeker/Tucker Martine,Israel Nebeker/Tucker Martine,Israel Nebeker/Tucker Martine
finkha selenia,,finkha selenia
Nile Rodgers/Bernard Edwards,Nile Rodgers/Bernard Edwards,Nile Rodgers/Bernard Edwards
Quinton Deon Lee,Quinton Deon Lee,Quinton Deon Lee
夕野ヨシミ/ARM/ZUN,ZUN,ARM/ZUN
Maksim Klimovich,Maksim Klimovich,Maksim Klimovich
Juan Blas Caballero/Alfredo Sebastián Mendoza,Juan Blas Caballero/Alfredo Sebastián Mendoza,Juan Blas Caballero/Alfredo Sebastián Mendoza
Anand & Milind,Anand /Milind,Milind
Manoj Vimal & Traditional,Manoj Vimal,Manoj Vimal
Alex Viudes/Dzine Brayet/Julien Bonamy/Cédric Doucet,,Alex Viudes/Dzine Brayet/Julien Bonamy/Cédric Doucet
Youssou N'Dour/Peter Gabriel,Youssou N'Dour/Peter Gabriel,Youssou N'Dour/Peter Gabriel
Максим Покровский/Ногу Свело!/Anton Yakomulsky,Anton Yakomulsky,Anton Yakomulsky
Shashamane Intl & Sugar Minott,Shashamane Intl/Sugar Minott,Shashamane Intl/Sugar Minott
Wolfgang Amadeus Mozart/Emanuel Schikaneder,Wolfgang Amadeus Mozart/Emanuel Schikaneder,Wolfgang Amadeus Mozart/Emanuel Schikaneder
Eduardo Aréchiga/Héctor Bojórquez/José Manuel Figueroa,Eduardo Aréchiga/Héctor Bojórquez/José Manuel Figueroa,Eduardo Aréchiga/Héctor Bojórquez/José Manuel Figueroa
Antonio Ghislanzoni/Giuseppe Verdi,Antonio Ghislanzoni/Giuseppe Verdi,Antonio Ghislanzoni/Giuseppe Verdi
Armelle de tugny & Julie Meola,Armelle de tugny/ Julie Meola,Armelle de tugny/Julie Meola
PHILLIPS GORDON MURPHY MR,,PHILLIPS GORDON MURPHY MR
Karan Pandav/Nacho Larraza,Karan Pandav/Nacho Larraza,Karan Pandav/Nacho Larraza
John Hill/Shakira/Sam Endicott,John Hill/Shakira/Sam Endicott,John Hill/Shakira/Sam Endicott
Seryoja,Seryoja,Seryoja
Angus Stone/Julia Stone/Angus & Julia Stone,Angus Stone/Julia Stone,Angus Stone/Julia Stone/Angus/Julia Stone
Jeff Bhasker/Alex Salibian/Ryan Nasci/Tyler Johnson/Harry Styles/Mitch Rowland,Jeff Bhasker/Alex Salibian/Ryan Nasci/Tyler Johnson/Harry Styles/Mitch Rowland,Jeff Bhasker/Alex Salibian/Ryan Nasci/Tyler Johnson/Harry Styles/Mitch Rowland
Kora,Kora,Kora
"Bobby Strand,Bryan Torwalt,Jenn Johnson,Katie Torwalt",Bobby Strand/Bryan Torwalt/Jenn Johnson/Katie Torwalt,Bobby Strand/Bryan Torwalt/Jenn Johnson/Katie Torwalt
Fuentes/Cervantes,Fuentes/Cervantes,Fuentes/Cervantes
CA MORGAN JESS/CA MORKEL ARTUR/CA NITZAN RAZ/PA ALAN MORRIS & ENZO FEAT. JESS MORGAN,MORGAN/JESS/MORKEL/ARTUR/NITZAN/RAZ/PA/ALAN/MORRIS/&/ENZO/FEAT./JESS/MORGAN,CA MORGAN JESS/CA MORKEL ARTUR/CA NITZAN RAZ/PA ALAN MORRIS/ENZO FEAT. JESS MORGAN
Nguyễn Hưng,Nguyễn Hưng,Nguyễn Hưng
TZ da Coronel,TZ da Coronel,TZ da Coronel
Juan Atkins,Juan Atkins,Juan Atkins
Samuel Coleridge-taylor,Samuel Coleridge-taylor,Samuel Coleridge-taylor
Gaetano Donizetti/Salvatore Cammarano,Gaetano Donizetti,Gaetano Donizetti/Salvatore Cammarano
Sghenny,Sghenny,Sghenny
Michael Haas/Lorenzo Da Ponte/Christopher Raeburn/Wolfgang Amadeus Mozart/Pierre Augustin Caron de Beaumarchais,Michael Haas/Lorenzo Da Ponte/Christopher Raeburn/Wolfgang Amadeus Mozart/Pierre Augustin Caron de Beaumarchais,Michael Haas/Lorenzo Da Ponte/Christopher Raeburn/Wolfgang Amadeus Mozart/Pierre Augustin Caron de Beaumarchais
Charles Singleton/Rose Marie McCoy,Charles Singleton/Rose Marie McCoy,Charles Singleton/Rose Marie McCoy
Joseph Haydn/Michael Bremner,Joseph Haydn/Michael Bremner,Joseph Haydn/Michael Bremner
Gabriela Rocha,Gabriela Rocha,Gabriela Rocha
Barry/J Lawrence,Barry/J Lawrence,Barry/J Lawrence
Samuel Karl Bohn,Samuel Karl Bohn,Samuel Karl Bohn
Christopher Johnson & Cj TopOff,Christopher Johnson/Cj TopOff,Christopher Johnson/Cj TopOff
Terence Kimble,Terence Kimble,Terence Kimble
Mike Johnson/Corey Parlamento,Mike Johnson/Corey Parlamento,Mike Johnson/Corey Parlamento
LUCARELLI NINO/PARMENTIER DENNIS/POWELL ANDY,LUCARELLI/NINO/PARMENTIER/DENNIS/POWELL/ANDY,LUCARELLI NINO/PARMENTIER DENNIS/POWELL ANDY
Ray Charles,Ray Charles,Ray Charles
Cameron Marygold/Benjamin Roberts/Brayden Deskins/Jordyn Kane/Colton Fisher,,Cameron Marygold/Benjamin Roberts/Brayden Deskins/Jordyn Kane/Colton Fisher
Ernesto Gonzalez Jimenez,,Ernesto Gonzalez Jimenez
Pierre-Yves Martel/Carl Ludwig Hübsch/Philip Zoubek,,Pierre-Yves Martel/Carl Ludwig Hübsch/Philip Zoubek
"<Unknown>/Freeland, David",Freeland/David,Freeland/David
Matt Gray,,Matt Gray
Dulcimer Dan & the Blue Skies Band,Dulcimer Dan & the Blue Skies Band,Dulcimer Dan/the Blue Skies Band
Anonymous,,Anonymous
Jim Corr/Sharon Corr/Caroline Corr/Andrea Corr,Jim Corr/Sharon Corr/Caroline Corr/Andrea Corr,Jim Corr/Sharon Corr/Caroline Corr/Andrea Corr
Paublino Vargas Jimenez,Paublino Vargas Jimenez,Paublino Vargas Jimenez
José Méndez,José Méndez,José Méndez
"<Unknown>/Garcia, Anthony",Garcia/Anthony,Garcia/Anthony
Joe Zawinul,Joe Zawinul,Joe Zawinul
Policarpio Rodriguez,Policarpio Rodriguez,Policarpio Rodriguez
"HANDEL,GEORGE FRIDERIC/SCHREINER,JOHN ANDREW/WATTS,ISAAC",HANDEL/GEORGE FRIDERIC/SCHREINER/JOHN ANDREW/WATTS/ISAAC,HANDEL/GEORGE FRIDERIC/SCHREINER/JOHN ANDREW/WATTS/ISAAC
James Clegg,,James Clegg
Margus Kliimask,Margus Kliimask,Margus Kliimask
Giorgos Moukidis,Giorgos Moukidis,Giorgos Moukidis
GARY CHAN/林若寧/覃嘉健,,GARY CHAN
Helltrain,Helltrain,Helltrain
Kelly Francis Hewson/Aaron Marshall Hewson/Phillip Partridge,Kelly Francis Hewson/Aaron Marshall Hewson/Phillip Partridge,Kelly Francis Hewson/Aaron Marshall Hewson/Phillip Partridge
